Theme #,Theme,Report
2,Equipment List,BE SURE ALL THE PAPERWORK IS COMPLETE; REGARDLESS OF OTHER; MORE IMPORTANT; DISTRS! ARRIVED AT THE Aircraft TO FIND AN Minimum Equipment List PLACARD IN THE LOGBOOK; FOR OBSERVER JUMP SEAT Inoperative DUE TO BROKEN PART NOT AVAILABLE; BUT ALSO HAD AN Marker MESSAGE OF 'F/Control FLAPS LOCKED' AND 'FLAP WINGTIP BRAKE' IN ADDITION TO A '#2 PACK OVERHEAT' CONDITION WITH HOT AIR POURING INTO THE CABIN. DEALING WITH THESE DELAYED OTHER PREFLT PREPARATIONS AND I FAILED TO NOTICE THE Minimum Equipment List ITEM WAS NOT LISTED ON THE DISPATCH RELEASE AS REQUIRED. PERCEIVED PRESSURE FOR ON-TIME DEP RUSHED COMPLETING PREFLT PREPARATIONS. DEP WAS ACCOMPLISHED WITHOUT HAVING THE Minimum Equipment List NUMBER ADDED TO THE DISPATCH RELEASE.
2,Equipment List,"AFTER STARTING BOTH ENGS AND DURING TAXI OUT AT DTW; CREW RECEIVED AN Marker MESSAGE FOR 'ELEC TR2' FAULT. NO ELECTRONIC CHKLIST WITH CORRECTIVE ITEMS WAS GENERATED BY Marker; SO CREW REFED THE COCKPIT OPERATING MANUAL. THE COCKPIT OPERATING MANUAL STATED THAT THE Marker INDICATION WAS FOR CREW AWARENESS ONLY WITH NO CORRECTIVE ACTION REQUIRED. CREW THEN REFERRED TO THE Aircraft Minimum Equipment List AS PER COMPANY PROC. HOWEVER; REF TO THIS DISCREPANCY WAS OVERLOOKED BY THE CREW AT THIS TIME DUE TO DISTRS CAUSED BY RADIOS AND THE TXWYS DURING TAXI OUT. ONCE AT ALT; FURTHER EXAMINATION OF THE Minimum Equipment List REVEALED THE PREVIOUSLY OVERLOOKED REF INDICATING THAT THIS ITEM REQUIRED CORRECTIVE ACTION PRIOR TO DISPATCH. DISPATCH WAS THEN CONTACTED OVER COMPANY RADIO AND ADVISED OF THE DISCREPANCY. SUBSEQUENTLY; DISPATCH COORDINATED FOR CORRECTIVE Maintenance UPON Arrival, Arrive AT THE DEST STATION."
2,Equipment List,Flight XYZ OPERATING MCO-SJU ON MAR 1997. PRIOR TO DEP AIRBUS TECHNICAL CONTACTED DISPATCH ASKING FOR APPROVAL FOR Minimum Equipment List ANNUNCIATOR LIGHTS DIM FUNCTION. SINCE I WAS BUSY WITH ANOTHER CALL A DISPATCHER NEAR ME APPROVED THIS Minimum Equipment List FOR Flight XYZ. APPARENTLY THE DISPATCHER WHO APPROVED THE Minimum Equipment List EITHER MISREAD THE Minimum Equipment List OR READ A DIFFERENT Minimum Equipment List. IT WAS DISCOVERED AFTER THE Flight HAD TAXIED OUT THAT THIS Minimum Equipment List REQUIRED THAT THE Flight BE COMPLETED BEFORE NIGHT FALL. Flight DEPARTED MCO AND LANDED UNEVENTFULLY AT SJU AFTER SUNSET.
2,Equipment List,"PRIOR TO PUSHBACK FOR A Flight FROM CMH TO EWR; TECHNICIANS WERE IN THE COCKPIT AND BLOCKED OUR ACCESS UNTIL ABOUT 15-20 MINS PRIOR TO DEP. ONCE IN THE COCKPIT; I REVIEWED THE NEWLY ADDED Minimum Equipment List; NOTED THAT WE WOULD NEED TO ADD IT TO OUR RELEASE; AND CALLED Maintenance BACK OUT AS THE PLACARD THEY INSTALLED WAS NOT WORDED CORRECTLY. WE CONTINUED OUR PREFLT PREPARATIONS; Maintenance CAME AND CORRECTED THE PLACARD AND LEFT AGAIN. ALMOST IMMEDIATELY; WE HAD ANOTHER COMPUTER FAULT AND HAD TO CALL Maintenance AGAIN. DURING ALL THIS WE WERE ALSO WORKING ON OBTAINING CORRECT TKOF RWY DATA AS CMH HAD A SHORTENED RWY. ONE OF THE ENTRY DOOR SLIDES WOULD NOT ARM PROPERLY AND ALL THIS WAS DISTRACTING. THE Minimum Equipment List REQUESTED CERTAIN ACTIONS PRIOR TO DEP AND A LOGBOOK ENTRY WHICH WE COMPLIED WITH BUT WITH ALL THE DISTRS; I FORGOT TO CONTACT DISPATCH TO GET THE Minimum Equipment List ADDED TO OUR RELEASE. WE DISCOVERED THIS En Route TO EWR. THIS TYPE OF MASS Distraction JUST PRIOR TO PUSHBACK IS COMMON. I TRY HARDER THAN ANYONE TO MAKE SURE WE ARE SAFE AND LEGAL; BUT OCCASIONALLY ANYONE CAN MAKE THIS KIND OF MISTAKE. THE DAILY LEGAL RAMIFICATIONS OF COMPLIANCE WITH FOM; FARS; Minimum Equipment List; ETC; ARE NUMEROUS AND SERIOUS. IN FACT; AN ARGUMENT COULD BE MADE THAT WITH SO MANY LEGAL TECHNICALITIES TO CONSIDER; A (S,'S) Pilot'S TIME TO PROPERLY CONSIDER THE REAL SAFETY FACTORS IS REDUCED. I WOULD ADVOCATE SOME TYPE OF A LEGALITIES CHKLIST TO HELP REMIND US OF THOSE REQUIREMENTS. LET'S FACE IT -- THE REGS ARE INCREASING BY NUMBER AND COMPLEXITY EVERY YR. THIS PROB WILL ONLY GET WORSE. IS THERE A WAY FOR PLTS TO STAY ABSOLUTELY LEGAL ON EVERY Flight? MY ONLY IDEA IS TO REQUIRE AN ADDITIONAL CHKLIST OR REQUIRE VERBAL DISPATCH CONTACT PRIOR TO EVERY Flight FOR REVIEW OF Aircraft STATUS; Weather ETC."
2,Equipment List,THIS RPT REFERS TO NON COMPATIBLE Minimum Equipment List DEFERRALS AND WHAT PART THE Flight Crew CAN PLAY TO PREVENT OVERSIGHTS LIKE THIS FROM OCCURRING. ON DEC/XA/97 MY CREW WAS ASSIGNED AN A300 Aircraft TO FLY A REGULAR SCHEDULED Flight FROM JFK; NY; TO BQN; PR. WE WERE INFORMED THAT IN ADDITION TO A DEFERRED Inoperative R THRUST REVERSER THE PLANE ALSO HAD 1 R MAIN WHEEL BRAKE DEACTIVATED AND DEFERRED DUE TO DRAGGING AND OVERHEATING. Maintenance WAS WORKING TO REPAIR THE BRAKE BEFORE DEP. AT DEP TIME Maintenance DETERMINED THAT THE REPAIR COULD NOT BE ACCOMPLISHED AND THE Aircraft WOULD BE DISPATCHED WITH THE ORIGINAL Minimum Equipment List DEFERRALS IN PLACE. THEY RETURNED THE LOGBOOK WITH ALL PROPER SIGNOFFS AND Minimum Equipment List NUMBERS RECORDED. UPON ARRIVING AT OUR DEST; WE WERE INFORMED BY THE COMPANY THAT A MISTAKE HAD BEEN MADE AND THE Aircraft SHOULD NOT HAVE BEEN DISPATCHED. ACCORDING TO Minimum Equipment List RESTRS THE Aircraft CANNOT BE OPERATED WITH AN Inoperative BRAKE AND AN Inoperative THRUST REVERSER ON THE SAME SIDE. ALTHOUGH THE Flight AND LNDG WERE UNEVENTFUL; THE IMPROPER Minimum Equipment List DEFERMENTS CREATED A TECHNICAL ILLEGALITY. I HOPE IN FUTURE RECURRENT TRAINING CLASSES THAT WE WILL MAKE A POINT OF ENCOURAGING CREWS TO TAKE A MOMENT (EVEN WHEN PRESSING AGAINST DEP SCHEDULE) TO REVIEW THE DEFERRED ITEMS IN THE Minimum Equipment List FOR POSSIBLE RESTRS. MOST Minimum Equipment List ITEMS ARE ONLY A PARAGRAPH OR TWO Longitude BUT PACKED WITH Information. I'LL BET I'LL BE DOING IT.
2,Equipment List,"DURING A PLANE SWAP PREFLT IN LAS THE First Officer  Heading HDG(S) DISCOVERED THAT A Hydraulic Marker System VERT(LY) Vertical INDICATION WAS NOT INDICATING PROPERLY. Maintenance WAS ALREADY ONBOARD THE Aircraft TENDING TO AN EXISTING Minimum Equipment List XXA FOR A BLUE Hydraulic System VERT(LY) Vertical RESERVOIR LOW AIR PRESSURE Marker WARNING FAILURE WHICH REQUIRED THAT THE BLUE RESERVOIR AIR PRESSURE BE VERIFIED AT THE RESERVOIR PRIOR TO DEP. ONCE Maintenance HAD CHKED THE BLUE Hydraulic AIR RESERVOIR PRESSURE THEY WENT TO WORK ON OUR OTHER Marker INDICATION PROB DISCOVERED BY THE First Officer  Heading HDG(S). IT WAS DETERMINED THAT THE System VERT(LY) Vertical WAS OPERATING PROPERLY BUT THAT THE Marker Hydraulic PAGE INDICATION WAS NOT INDICATING PROPERLY FOR WHICH THERE WAS Minimum Equipment List XXA RELIEF. THERE WAS A System VERT(LY) Vertical VERIFICATION Check REQUIRED BEFORE DEP THAT Maintenance AND I COMPLETED TOGETHER. THE LOGBOOK WAS SIGNED OFF AND THE Minimum Equipment List ADDED TO OUR Flight RELEASE. WE DEPARTED FOR ONT 1 (S,LY) Hour LATE ARRIVING AT XU00. I ENTERED INTO THE LOGBOOK AN 'Information ONLY' ENTRY THAT THE System VERT(LY) Vertical Check HAD BEEN COMPLETED FOR THE Minimum Equipment List XXA. UPON Arrival, Arrive ANOTHER Minimum Equipment List FOR A Engine HP BLEED VALVE CAME UP; SO BEFORE GOING TO THE HOTEL I WROTE IT UP AND GOT THE DEFERRED PLACARDING INSTALLATIONS (DPI) FROM Maintenance Control. I CHKED MY OTHER WRITE-UPS BEFORE LEAVING FOR THE HOTEL AND NOTED THAT THE Marker INDICATION HAD BEEN PLACARDED BY Maintenance IN LAS AS AN XXA (THE SAME Minimum Equipment List FOR OUR EXISTING XXA Marker BLUE Hydraulic RESERVOIR LOW AIR PRESSURE WARNING Inoperative). I DIDN'T GIVE IT MUCH THOUGHT AT THAT MOMENT AND FIGURED THAT I GOT IT WRONG ON MY Information ONLY WRITE-UP AND CHANGED MY XXB TO AN XXA AND CAUGHT THE VAN TO THE HOTEL. IT WAS NOW XU30. DURING THE RIDE TO THE HOTEL I STARTED TO THINK SOME MORE ABOUT MY WRITE-UP IN LAS AND NOW WASN'T SURE Intermediate Fix IT HAD BEEN PROPERLY CLRED. SO; ONCE AT MY ROOM I CALLED Maintenance Control IN PHX TO VERIFY THE Minimum Equipment List. DISPATCH AND PHX Maintenance Control HAD THE CORRECT XXB Marker INDICATION Minimum Equipment List ON RECORD SO IT BECAME OBVIOUS THEN THAT LAS Maintenance HAD CLRED THE LOGBOOK INCORRECTLY WITH THE OTHER Minimum Equipment List; XXA Marker WARNINGS AND CAUTIONS; THAT WAS ALREADY EXISTING ON THE Aircraft. IN SHORT WE HAD AN EXISTING Minimum Equipment List XXA FOR AN Marker WARNING/CAUTION AND NEEDED AN XXB Marker INDICATIONS Minimum Equipment List BUT INSTEAD GOT ANOTHER XXA PLACARD ON THE LOGBOOK. THERE ARE EXISTING PROCS FOR THE Flight Crew TO DOUBLE Check THIS BUT DUE TO THE (S,LY) Hour OF THE DAY; LAST LEG; SIMILAR Minimum Equipment List NUMBER AND TYPE I FAILED TO CATCH THE MISTAKE UNTIL ONT. OUT I WENT BACK TO THE ARPT. I CONFERRED WITH PHX Maintenance Control AND GOT THE Situation CORRECTED AND GOT BACK TO THE HOTEL AT XW00."
2,Equipment List,Minimum Equipment List WAS CONSULTED IN <Airport  (Domestic)> REGARDING AN Inoperative MECHANICAL; HORIZ First Officer  Heading HDG(S) SEAT Control. Minimum Equipment List STATED '2' DEVICES TO Control HORIZ MOVEMENT INSTALLED '0' REQUIRED FOR DISPATCH; AND THAT THE SEAT COULD BE OPERATED WITH MECHANICAL BACKUP Control. THIS STATEMENT WAS CONFUSING BECAUSE THERE IS ONLY 1 MECHANICAL Control AND 1 ELECTRONIC Control. Maintenance WAS CALLED. THEY CHKED THE WRITE-UP AND Minimum Equipment List AND CONFIRMED Aircraft DISPATCHABILITY VIA THE Minimum Equipment List AND THE ELECTRO-MECHANICAL BACKUP. THEY DETERMINED THE ELECTRICAL Control WAS THE BACKUP. THE ONLY REASON I AM SUBMITTING THIS RPT WAS BECAUSE UPON ARRIVING IN ABC; THE Flight Crew RECEIVING THIS Aircraft REFUSED TO FLY IT; DUE TO THE Minimum Equipment List WRITE-UP. DUE TO THE FACT THE Minimum Equipment List WAS NOT Clear AND HAS BEEN INTERPED DIFFERENTLY AND INCORRECTLY BY MANY; I FELT IT WAS NECESSARY TO FILE THIS RPT.
2,Equipment List,Aircraft WAS DISPATCHED WITH AUTOBRAKES Inoperative. THE First Officer  Heading HDG(S) CONSULTED THE Minimum Equipment List AND READ OUT LOUD THE Flight Crew OPERATING PROCS; AND ALSO MENTIONED A Maintenance PROC (DDG) ASSOCIATED WITH THE Minimum Equipment List. NEITHER OF US PAID PARTICULAR ATTN TO THE 'DDG;' AS THAT IS A Maintenance FUNCTION. ALSO; THE Minimum Equipment List PLACARD IN THE Aircraft LOGBOOK HAS A BOX THAT IS SUPPOSED TO BE CHKED Intermediate Fix AN INSPECTION IS REQUIRED BEFORE Flight. THIS BOX WAS NOT CHKED. WE DEPARTED ON TIME; AND WHILE En Route I PAGED BACK THROUGH THE LOGBOOK FOR OTHER REASONS. I ALREADY KNEW THAT THE Maintenance RELEASE HAD BEEN SIGNED IN TPA THAT MORNING AND THAT THE 'DDG' FOR THE Minimum Equipment List HAD BEEN ACCOMPLISHED AT THAT TIME. WHILE PAGING BACK FURTHER; I NOTED THAT A LOG ENTRY DOCUMENTING ACCOMPLISHMENT OF THE 'DDG' HAD BEEN MADE PRIOR TO EVERY Flight SINCE THE AUTOBRAKES HAD BEEN PLACED ON Minimum Equipment List. I LOOKED UP THE Minimum Equipment List IN THE BOOK AGAIN; AND; SURE ENOUGH; THAT 'DDG' WAS TO BE DONE PRIOR TO EACH Flight. ALTHOUGH IT IS THE RESPONSIBILITY OF Maintenance TO PERFORM THE PROC; IT IS MY RESPONSIBILITY TO REFUSE THE Aircraft UNTIL THE PROC IS PERFORMED AND DOCUMENTED IN THE LOGBOOK. THIS WAS NOT DONE FOR THIS Flight. CONTRIBUTING TO MY OVERSIGHT WAS THE FACT THAT THE BOX ON THE Minimum Equipment List PLACARD INDICATING THE REQUIREMENT OF A PREFLT 'DDG' WAS NOT CHKED.
2,Equipment List,WE FLEW FROM <Airport  (Domestic)>; US; TO MSP WITH A BOXED Minimum Equipment List ITEM NOT ON THE RELEASE. WE WERE BUSY TAKING CARE OF 2 WRITE-UPS ON THE Aircraft ALONG WITH REVIEWING THE NONSTANDARD DEP PROCS OUT OF <Airport  (Domestic)> AND OVERLOOKED THE BOXED Minimum Equipment List ITEM THAT SHOULD HAVE BEEN ON THE RELEASE.
2,Equipment List,ON AUG/FRI/00; I WAS ASSIGNED Aircraft XYZ TO COMPLETE TROUBLESHOOTING AND REPAIRS TO THE INFLT WHEEL BRAKING System VERT(LY) Vertical. ALL REPAIRS WERE COMPLETED PER OUR Maintenance MANUAL AND I CLRED Minimum Equipment List 32-17. THERE WAS NO INDICATION OF A NOSEWHEEL BRAKING PROB ON THIS Aircraft OR THAT THE NOSE BRAKES WERE REMOVED. I HAVE BEEN MADE AWARE THAT THERE MAY HAVE BEEN A POSSIBLE SAFETY OR RULE VIOLATION. I BELIEVE THAT THE Minimum Equipment List PROCS FOR 32-17 ARE UNCLR IN THIS CASE.
