UMAP-1,UMAP-2,Theme #,Theme,Snippet
4.382189,0.1486979,4,Feet,DURING ING) Descent INTO ATL; A Clearance TO 14000 Feet/Foot Association Mean Sea Level WAS GIVEN. AN AUTOPLT ING) Desce…
6.2604294,3.9431932,2,Equipment List,ON PREFLT Aircraft HAD A Flight Control COMPUTER THAT WAS Inoperative. Maintenance REPLACED THE FAULTY COMPUTER. DURING …
4.7093854,0.14491208,4,Feet,WHILE IN LEVEL CRUISE AT FL230 TCASII ADVISED OF US Significant Meteorological Traffic ABOUT 15 MI AHEAD; 12 O'CLOCK; 40…
4.7561884,0.050937306,4,Feet,Pilot Flying NEW A320 Captain. PNF STANDARDS Captain CONDUCTING Initial Operating Experience. Air Traffic Control HAD KE…
4.403915,-0.26411766,4,Feet,WHILE FLYING Flight FROM MSP TO SAN WE WERE GETTING NUMEROUS ALT CHANGES AND Traffic Advisory'S. THE Captain WAS FLYING.…
4.7621293,0.04643139,4,Feet,AN AIRBUS 320 WAS ON FINAL APCH TO DCA RWY 36. THE CREW WAS IN IMC CONDITIONS INFLUENCED BY A STRONG EASTERLY WIND FLOW …
3.797284,7.4640384,2,Equipment List,Aircraft HAD Auxiliary TANK Inoperative WITH 2000 LBS OF TRAPPED FUEL WHICH CONSTITUTED A POSSIBLE REDISPATCH ON TRIP FR…
5.2283125,-0.61873204,4,Feet,WHILE ON A Heading TO INTERCEPT THE Compass Locator At  Outer 29R AT MSP WE CALLED THE ARPT IN SIGHT AND WE WERE CLRED F…
0.77010304,3.8908412,2,Equipment List,IN SUM: THE RPTING CREW FLEW AN Air Carrier Service AIRBUS A-320 4 LEGS WITH AN Inoperative Auxiliary Power Unit BLEED S…
4.379428,-0.39777485,4,Feet,ATTEMPTING TO MEET THE Air Traffic Control Crossing RESTRICTION; WE USED SPD BRAKES TO INCREASE THE ING) Descent RATE. T…
4.756541,3.4284456,4,Feet,THE SAID Flight SENT ME A MESSAGE THAT Engine ANTI-ICE WAS NOT OPERATING. WE HAD COMMUNICATED VIA THE Automatic Communic…
2.8021936,5.1187325,2,Equipment List,BE SURE ALL THE PAPERWORK IS COMPLETE; REGARDLESS OF OTHER; MORE IMPORTANT; DISTRS! ARRIVED AT THE Aircraft TO FIND AN M…
4.5086317,-0.48472068,4,Feet,"OUR Route  Takeoff TKOF(S) WAS FROM ORD TO MSP VIA DIRECT DBQ; DIRECT ALO AND THE MEINZ 6 Arrival, Arrive TO MSP. THIS W…"
4.2663293,7.401533,4,Feet,I BELIEVED THAT THE #1 FUEL QUANTITY WAS IN ERROR OR THAT WE HAD A FUEL LEAK SOMEWHERE IN THE Aircraft; WE LANDED WITH A…
4.7927947,-0.15891838,4,Feet,WE WERE CONDUCTING THE LDA-Distance Measuring Equipment APCH TO RWY 18 AT DCA IN VARIABLE Instrument Flight Rules CONDIT…
4.2781973,-0.3083655,4,Feet,ON OUR ING) Descent TO DTW ON THE POLAR 1 Standard Terminal Arrival Route; WE WERE CLRED TO CROSS POLAR AT 12000 Feet/Fo…
